model,with_features,nc_test_size,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,accuracy
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,-1.0,2.0,63.17138746989482
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,-1.0,3.0,47.00499954683596
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,-1.0,6.0,24.5912474777659
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,-1.0,10.0,14.350384077109345
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,1.0,2.0,59.57825505081039
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,1.0,3.0,49.85732388204808
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,1.0,6.0,38.78430751322081
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,1.0,10.0,30.33724691518959
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,5.0,2.0,78.74988239558647
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,5.0,3.0,80.08772603258572
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,5.0,6.0,70.44372347972114
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,5.0,10.0,68.47510646018557
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,10.0,2.0,85.23098221855398
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,10.0,3.0,81.50160064494193
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,10.0,6.0,78.05724799816156
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,1.1,0.0,10.0,10.0,71.23474520767483
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,-1.0,2.0,63.23904921529457
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,-1.0,3.0,46.20056289108753
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,-1.0,6.0,25.210737982199092
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,-1.0,10.0,14.394393661373709
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,1.0,2.0,63.62697967922795
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,1.0,3.0,53.776168052211595
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,1.0,6.0,39.683524075166815
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,1.0,10.0,32.448804708554405
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,2.1,2000.0,3.0,0.0,5.0,2.0,84.1855825527084
