model,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,with_features,nc_test_size,i,accuracy
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,-1,10,1,0.7,4.5,15.11
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,-1,2,1,0.7,4.5,64.901
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,-1,3,1,0.7,4.5,48.585
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,-1,6,1,0.7,4.5,25.403
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,1,10,1,0.7,4.5,34.206
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,1,2,1,0.7,4.5,64.271
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,1,3,1,0.7,4.5,51.265
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,1,6,1,0.7,4.5,41.870999999999995
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,10,10,1,0.7,4.5,79.19500000000001
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,10,2,1,0.7,4.5,87.593
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,10,3,1,0.7,4.5,83.511
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,10,6,1,0.7,4.5,83.512
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,5,10,1,0.7,4.5,73.747
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,5,2,1,0.7,4.5,80.101
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,5,3,1,0.7,4.5,82.251
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,1.1,0.0,5,6,1,0.7,4.5,74.33500000000001
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,-1,10,1,0.7,4.5,15.025
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,-1,2,1,0.7,4.5,65.22200000000001
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,-1,3,1,0.7,4.5,47.729
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,-1,6,1,0.7,4.5,26.973000000000003
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,1,10,1,0.7,4.5,36.362
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,1,2,1,0.7,4.5,66.382
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,1,3,1,0.7,4.5,55.541
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,1,6,1,0.7,4.5,43.587
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,10,10,1,0.7,4.5,79.011
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,10,2,1,0.7,4.5,87.649
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,10,3,1,0.7,4.5,86.64200000000001
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,10,6,1,0.7,4.5,81.952
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,5,10,1,0.7,4.5,75.14099999999999
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,5,2,1,0.7,4.5,85.089
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,5,3,1,0.7,4.5,80.952
SGFormer,1.1,2.1,5000,3,2.1,3,2.1,2000,3,0.0,5,6,1,0.7,4.5,78.417
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,1.1,0.0,-1,10,1,0.7,4.5,14.823999999999998
