size,thread,i,time
1000,1,0,0.07465195655822754
1000,1,1,0.09634137153625488
1000,1,2,0.07023024559020996
1000,1,3,0.07030797004699707
1000,1,4,0.07125425338745117
1000,1,5,0.07099151611328125
1000,1,6,0.07049298286437988
1000,1,7,0.06947064399719238
1000,1,8,0.07130074501037598
1000,1,9,0.07282328605651855
1000,1,10,0.0726323127746582
1000,1,11,0.24834346771240234
1000,1,12,0.2468430995941162
1000,1,13,0.24864768981933594
1000,1,14,0.2500162124633789
1000,1,15,0.3275730609893799
1000,1,16,0.3322019577026367
1000,1,17,0.3328406810760498
1000,1,18,0.38784003257751465
1000,1,19,0.3965272903442383
1000,1,20,0.38495659828186035
1000,1,21,0.4162752628326416
1000,1,22,0.40106987953186035
1000,1,23,0.1421205997467041
1000,1,24,0.14535856246948242
1000,1,25,0.14786362648010254
1000,1,26,0.1411573886871338
1000,1,27,0.14123940467834473
1000,1,28,0.14131379127502441
1000,1,29,0.13786673545837402
1000,1,30,0.4926645755767822
1000,1,31,0.47915124893188477
1000,1,32,0.6575455665588379
1000,1,33,0.6380078792572021
1000,1,34,0.42630839347839355
1000,1,35,0.4275176525115967
1000,1,36,0.2773869037628174
1000,1,37,0.2751917839050293
1000,1,38,0.27653932571411133
1000,1,39,0.2748527526855469
1000,1,40,0.3086891174316406
1000,1,41,0.29876708984375
1000,1,42,0.2969493865966797
1000,1,43,0.27594637870788574
1000,1,44,0.27707505226135254
1000,1,45,0.26804566383361816
1000,1,46,0.281008243560791
1000,1,47,0.43643951416015625
1000,1,48,0.43669772148132324
1000,1,49,0.22099566459655762
1000,2,0,0.12691426277160645
1000,2,1,0.23699951171875
1000,2,2,0.1321718692779541
1000,2,3,0.4120206832885742
1000,2,4,0.318373441696167
1000,2,5,0.22973179817199707
1000,2,6,0.2260138988494873
1000,2,7,0.19634318351745605
1000,2,8,0.20496439933776855
1000,2,9,0.18657517433166504
1000,2,10,0.18558239936828613
1000,2,11,0.12343001365661621
1000,2,12,0.17926406860351562
1000,2,13,0.11913657188415527
1000,2,14,0.3881545066833496
1000,2,15,0.180511474609375
1000,2,16,0.24480438232421875
1000,2,17,0.30358123779296875
1000,2,18,0.3836488723754883
1000,2,19,0.21375226974487305
1000,2,20,0.2458946704864502
1000,2,21,0.4512598514556885
1000,2,22,0.2574422359466553
1000,2,23,0.2531747817993164
1000,2,24,0.3763413429260254
1000,2,25,0.3936038017272949
1000,2,26,0.2578856945037842
1000,2,27,0.6355266571044922
1000,2,28,0.16240501403808594
1000,2,29,0.17355012893676758
1000,2,30,0.14464926719665527
1000,2,31,0.11960697174072266
1000,2,32,0.11972689628601074
1000,2,33,0.4391019344329834
1000,2,34,0.20871639251708984
1000,2,35,0.2368917465209961
1000,2,36,0.21020245552062988
1000,2,37,0.10315060615539551
1000,2,38,0.11197304725646973
1000,2,39,0.20511794090270996
1000,2,40,0.15352773666381836
1000,2,41,0.1772615909576416
1000,2,42,0.17984700202941895
1000,2,43,0.3806021213531494
1000,2,44,0.0802459716796875
1000,2,45,0.13798832893371582
1000,2,46,0.18725132942199707
1000,2,47,0.17741847038269043
1000,2,48,0.12836408615112305
1000,2,49,0.19158935546875
1000,4,0,0.17422699928283691
1000,4,1,0.09694361686706543
1000,4,2,0.0764462947845459
1000,4,3,0.1848618984222412
1000,4,4,0.2657039165496826
1000,4,5,0.23517727851867676
1000,4,6,0.1038515567779541
1000,4,7,0.20576977729797363
1000,4,8,0.3198251724243164
1000,4,9,0.24325060844421387
1000,4,10,0.18140816688537598
1000,4,11,0.21204018592834473
1000,4,12,0.1410369873046875
1000,4,13,0.14501690864562988
1000,4,14,0.17141032218933105
1000,4,15,0.33817601203918457
1000,4,16,0.29868125915527344
1000,4,17,0.22967267036437988
1000,4,18,0.2425985336303711
1000,4,19,0.33487915992736816
1000,4,20,0.26958394050598145
1000,4,21,0.21593880653381348
1000,4,22,0.1866302490234375
1000,4,23,0.19176745414733887
1000,4,24,0.2531101703643799
1000,4,25,0.08794522285461426
1000,4,26,0.12701630592346191
1000,4,27,0.06590938568115234
1000,4,28,0.08361339569091797
1000,4,29,0.23315811157226562
1000,4,30,0.07763385772705078
1000,4,31,0.1189889907836914
1000,4,32,0.14209556579589844
1000,4,33,0.16983294486999512
1000,4,34,0.3138406276702881
1000,4,35,0.18262028694152832
1000,4,36,0.16263723373413086
1000,4,37,0.15425729751586914
1000,4,38,0.13829731941223145
1000,4,39,0.0874629020690918
1000,4,40,0.19862151145935059
1000,4,41,0.15705537796020508
1000,4,42,0.11269760131835938
1000,4,43,0.1646132469177246
1000,4,44,0.1188974380493164
1000,4,45,0.056241750717163086
1000,4,46,0.14567112922668457
1000,4,47,0.20423030853271484
1000,4,48,0.2930161952972412
1000,4,49,0.09885072708129883
2000,1,0,1.726649284362793
2000,1,1,0.8194646835327148
2000,1,2,0.8273468017578125
2000,1,3,1.905508279800415
2000,1,4,0.24534845352172852
2000,1,5,0.24194669723510742
2000,1,6,0.24124646186828613
2000,1,7,0.25164008140563965
2000,1,8,1.8216557502746582
2000,1,9,1.4781434535980225
2000,1,10,1.5247600078582764
2000,1,11,0.659099817276001
2000,1,12,1.189199447631836
2000,1,13,1.2066082954406738
2000,1,14,2.0423994064331055
2000,1,15,1.1964118480682373
2000,1,16,0.9434647560119629
2000,1,17,0.9381992816925049
2000,1,18,2.449673891067505
2000,1,19,0.9860513210296631
2000,1,20,0.9230265617370605
2000,1,21,1.0774705410003662
2000,1,22,1.1882023811340332
2000,1,23,1.4935574531555176
2000,1,24,1.2030518054962158
2000,1,25,0.7232058048248291
2000,1,26,1.2621746063232422
2000,1,27,1.6180057525634766
2000,1,28,0.9893636703491211
2000,1,29,1.7260339260101318
2000,1,30,1.2958159446716309
2000,1,31,0.6724648475646973
2000,1,32,0.6608636379241943
2000,1,33,1.0813710689544678
2000,1,34,1.5526978969573975
2000,1,35,0.5639467239379883
2000,1,36,0.5672860145568848
2000,1,37,1.8346004486083984
2000,1,38,0.5659003257751465
2000,1,39,0.5175039768218994
2000,1,40,0.9960753917694092
2000,1,41,1.0354695320129395
2000,1,42,2.0617408752441406
2000,1,43,1.6632063388824463
2000,1,44,0.8317923545837402
2000,1,45,1.338341236114502
2000,1,46,1.5040574073791504
2000,1,47,1.1276085376739502
2000,1,48,1.416496992111206
2000,1,49,1.205820083618164
2000,2,0,0.6774718761444092
2000,2,1,0.5985128879547119
2000,2,2,2.1202943325042725
2000,2,3,1.3405535221099854
2000,2,4,0.33644556999206543
2000,2,5,0.505406379699707
2000,2,6,0.9164350032806396
2000,2,7,1.128375768661499
2000,2,8,1.208911418914795
2000,2,9,1.1097259521484375
2000,2,10,0.43992161750793457
2000,2,11,1.1461334228515625
2000,2,12,0.8412084579467773
2000,2,13,0.606562614440918
2000,2,14,0.442793607711792
2000,2,15,0.27683234214782715
2000,2,16,0.5033049583435059
2000,2,17,0.5052487850189209
2000,2,18,0.4864535331726074
2000,2,19,0.6397132873535156
2000,2,20,0.6034204959869385
2000,2,21,0.8979823589324951
2000,2,22,1.0509932041168213
2000,2,23,1.4081084728240967
2000,2,24,0.3071403503417969
2000,2,25,0.8221640586853027
2000,2,26,0.7631731033325195
2000,2,27,1.541456937789917
2000,2,28,0.3684976100921631
2000,2,29,0.27207446098327637
2000,2,30,0.9525108337402344
2000,2,31,0.8389034271240234
2000,2,32,1.081977128982544
2000,2,33,0.8671836853027344
2000,2,34,0.9507384300231934
2000,2,35,1.1711654663085938
2000,2,36,0.8893098831176758
2000,2,37,0.5067532062530518
2000,2,38,0.537163496017456
2000,2,39,0.4708859920501709
2000,2,40,0.2028183937072754
2000,2,41,0.535001277923584
2000,2,42,0.6756558418273926
2000,2,43,0.7086164951324463
2000,2,44,0.7744796276092529
2000,2,45,0.6705548763275146
2000,2,46,1.066070556640625
2000,2,47,0.5198080539703369
2000,2,48,0.7836399078369141
2000,2,49,0.9600193500518799
2000,4,0,0.29839229583740234
2000,4,1,0.678706169128418
2000,4,2,0.605644702911377
2000,4,3,0.16147232055664062
2000,4,4,0.5845084190368652
2000,4,5,0.8027253150939941
2000,4,6,0.12981081008911133
2000,4,7,0.23105239868164062
2000,4,8,0.6166336536407471
2000,4,9,0.3789341449737549
2000,4,10,0.585507869720459
2000,4,11,0.5730676651000977
2000,4,12,0.2913033962249756
2000,4,13,0.3422966003417969
2000,4,14,0.9006545543670654
2000,4,15,0.5029706954956055
2000,4,16,0.6396970748901367
2000,4,17,0.7121131420135498
2000,4,18,0.6524672508239746
2000,4,19,0.6936347484588623
2000,4,20,0.3229968547821045
2000,4,21,0.5814733505249023
2000,4,22,0.4924917221069336
2000,4,23,0.6224997043609619
2000,4,24,0.4050462245941162
2000,4,25,0.5951955318450928
2000,4,26,0.6526107788085938
2000,4,27,0.6257784366607666
2000,4,28,0.35207104682922363
2000,4,29,0.7302780151367188
2000,4,30,0.49416279792785645
2000,4,31,0.4591536521911621
2000,4,32,0.7284016609191895
2000,4,33,1.5398063659667969
2000,4,34,0.9742262363433838
2000,4,35,0.6069791316986084
2000,4,36,1.2062904834747314
2000,4,37,0.5893354415893555
2000,4,38,0.16837430000305176
2000,4,39,0.32521581649780273
2000,4,40,0.42496633529663086
2000,4,41,0.37024784088134766
2000,4,42,0.610037088394165
2000,4,43,0.5970330238342285
2000,4,44,0.7655105590820312
