size,thread,i,time
1000,1,0,0.6410903930664062
1000,1,1,0.6161932945251465
1000,1,2,0.2592771053314209
1000,1,3,0.25775718688964844
1000,1,4,0.25966882705688477
1000,1,5,0.13116025924682617
1000,1,6,0.13066625595092773
1000,1,7,0.13077425956726074
1000,1,8,0.13359332084655762
1000,1,9,0.13019180297851562
1000,1,10,0.1295623779296875
1000,1,11,0.130051851272583
1000,1,12,0.10225653648376465
1000,1,13,0.10155940055847168
1000,1,14,0.10312438011169434
1000,1,15,0.10425949096679688
1000,1,16,0.10211658477783203
1000,1,17,0.10476374626159668
1000,1,18,0.10754179954528809
1000,1,19,0.10234546661376953
1000,1,20,0.09901046752929688
1000,1,21,0.10046982765197754
1000,1,22,0.11488819122314453
1000,1,23,0.11361527442932129
1000,1,24,0.11715483665466309
1000,1,25,0.11398553848266602
1000,1,26,0.11308050155639648
1000,1,27,0.11374235153198242
1000,1,28,0.11357808113098145
1000,1,29,0.11372685432434082
1000,1,30,0.11400961875915527
1000,1,31,0.16924262046813965
1000,1,32,0.17300033569335938
1000,1,33,0.16918396949768066
1000,1,34,0.16797184944152832
1000,1,35,0.16808247566223145
1000,1,36,0.1699209213256836
1000,1,37,0.23445677757263184
1000,1,38,0.2334139347076416
1000,1,39,0.24299168586730957
1000,1,40,0.23520565032958984
1000,1,41,0.15407180786132812
1000,1,42,0.14824557304382324
1000,1,43,0.15274977684020996
1000,1,44,0.15167498588562012
1000,1,45,0.1493091583251953
1000,1,46,0.15066981315612793
1000,1,47,0.15622711181640625
1000,1,48,0.8543546199798584
1000,1,49,0.8417913913726807
1000,2,0,0.22568678855895996
1000,2,1,0.061396121978759766
1000,2,2,0.35713958740234375
1000,2,3,0.07769656181335449
1000,2,4,0.16151022911071777
1000,2,5,0.11467361450195312
1000,2,6,0.09502434730529785
1000,2,7,0.1333019733428955
1000,2,8,0.22387051582336426
1000,2,9,0.33069777488708496
1000,2,10,0.22824335098266602
1000,2,11,0.09321951866149902
1000,2,12,0.224257230758667
1000,2,13,0.1206965446472168
1000,2,14,0.14840936660766602
1000,2,15,0.12887358665466309
1000,2,16,0.25713038444519043
1000,2,17,0.11267209053039551
1000,2,18,0.28363847732543945
1000,2,19,0.1662135124206543
1000,2,20,0.06009030342102051
1000,2,21,0.13613200187683105
1000,2,22,0.19736242294311523
1000,2,23,0.19805121421813965
1000,2,24,0.14313554763793945
1000,2,25,0.319796085357666
1000,2,26,0.17303252220153809
1000,2,27,0.26706695556640625
1000,2,28,0.32334184646606445
1000,2,29,0.18779802322387695
1000,2,30,0.21477365493774414
1000,2,31,0.22642302513122559
