size,thread,i,time
500,1,0,0.06243395805358887
500,1,1,0.06188249588012695
500,1,2,0.06259894371032715
500,1,3,0.06221270561218262
500,1,4,0.06245923042297363
500,1,5,0.06244349479675293
500,1,6,0.06242871284484863
500,1,7,0.060094356536865234
500,1,8,0.061636924743652344
500,1,9,0.02324080467224121
500,1,10,0.023194074630737305
500,1,11,0.023275375366210938
500,1,12,0.024425745010375977
500,1,13,0.02386021614074707
500,1,14,0.023739337921142578
500,1,15,0.023597002029418945
500,1,16,0.023675203323364258
500,1,17,0.023743867874145508
500,1,18,0.023697853088378906
500,1,19,0.023614883422851562
500,1,20,0.023658275604248047
500,1,21,0.0231778621673584
500,1,22,0.02313232421875
500,1,23,0.023253440856933594
500,1,24,0.0231630802154541
500,1,25,0.023684263229370117
500,1,26,0.023877382278442383
500,1,27,0.023785114288330078
500,1,28,0.024135828018188477
500,1,29,0.0238797664642334
500,1,30,0.02408742904663086
500,1,31,0.024211406707763672
500,1,32,0.02399277687072754
500,1,33,0.02332329750061035
500,1,34,0.023168325424194336
500,1,35,0.023175954818725586
500,1,36,0.023551225662231445
500,1,37,0.023896455764770508
500,1,38,0.023815155029296875
500,1,39,0.02395343780517578
500,1,40,0.023754119873046875
500,1,41,0.02403545379638672
500,1,42,0.02385878562927246
500,1,43,0.023828744888305664
500,1,44,0.023891687393188477
500,1,45,0.023893356323242188
500,1,46,0.023938894271850586
500,1,47,0.024027585983276367
500,1,48,0.023966312408447266
500,1,49,0.02364826202392578
500,2,0,0.04582715034484863
500,2,1,0.06006479263305664
500,2,2,0.07359480857849121
500,2,3,0.07747578620910645
500,2,4,0.12502717971801758
500,2,5,0.0573575496673584
500,2,6,0.06818628311157227
500,2,7,0.0711355209350586
500,2,8,0.07288169860839844
500,2,9,0.07730555534362793
500,2,10,0.06846833229064941
500,2,11,0.08588862419128418
500,2,12,0.05222368240356445
500,2,13,0.057274580001831055
500,2,14,0.08057403564453125
500,2,15,0.10064029693603516
500,2,16,0.047098636627197266
500,2,17,0.04240822792053223
500,2,18,0.1121828556060791
500,2,19,0.1626124382019043
500,2,20,0.07282781600952148
500,2,21,0.043939828872680664
500,2,22,0.07083725929260254
500,2,23,0.05426502227783203
500,2,24,0.03309035301208496
500,2,25,0.06612253189086914
500,2,26,0.038082122802734375
500,2,27,0.09491348266601562
500,2,28,0.07570767402648926
500,2,29,0.08258724212646484
500,2,30,0.10093998908996582
500,2,31,0.08645820617675781
500,2,32,0.07365798950195312
500,2,33,0.13954710960388184
500,2,34,0.12646055221557617
500,2,35,0.09612345695495605
500,2,36,0.13849973678588867
500,2,37,0.10367894172668457
500,2,38,0.03830218315124512
500,2,39,0.05721116065979004
500,2,40,0.05764460563659668
500,2,41,0.03993034362792969
500,2,42,0.029192209243774414
500,2,43,0.04022574424743652
500,2,44,0.05229830741882324
500,2,45,0.0639500617980957
500,2,46,0.07469558715820312
500,2,47,0.050676584243774414
500,2,48,0.08634066581726074
500,2,49,0.03779792785644531
500,4,0,0.025330066680908203
500,4,1,0.03743696212768555
500,4,2,0.027320384979248047
500,4,3,0.0655827522277832
500,4,4,0.04653596878051758
500,4,5,0.0593419075012207
500,4,6,0.05236673355102539
500,4,7,0.03302359580993652
500,4,8,0.03644418716430664
500,4,9,0.027201175689697266
500,4,10,0.032439470291137695
500,4,11,0.025376081466674805
500,4,12,0.03756570816040039
500,4,13,0.04020404815673828
500,4,14,0.03469991683959961
500,4,15,0.04751300811767578
500,4,16,0.03892922401428223
500,4,17,0.06107616424560547
500,4,18,0.02089858055114746
500,4,19,0.0376126766204834
500,4,20,0.0455479621887207
500,4,21,0.0514681339263916
500,4,22,0.06536173820495605
500,4,23,0.08195185661315918
500,4,24,0.039447784423828125
500,4,25,0.016202926635742188
500,4,26,0.0322575569152832
500,4,27,0.0543212890625
500,4,28,0.0518951416015625
500,4,29,0.07222247123718262
500,4,30,0.028100013732910156
500,4,31,0.0549619197845459
500,4,32,0.04906463623046875
500,4,33,0.052912235260009766
500,4,34,0.02892017364501953
500,4,35,0.05015754699707031
500,4,36,0.025174379348754883
500,4,37,0.018765687942504883
500,4,38,0.04907345771789551
500,4,39,0.03703618049621582
500,4,40,0.025983810424804688
500,4,41,0.05014610290527344
500,4,42,0.03362464904785156
500,4,43,0.033914804458618164
500,4,44,0.017160654067993164
500,4,45,0.015500068664550781
500,4,46,0.023118019104003906
500,4,47,0.056067466735839844
500,4,48,0.03878498077392578
500,4,49,0.062099456787109375
1000,1,0,0.5018036365509033
1000,1,1,0.2981884479522705
1000,1,2,0.300673246383667
1000,1,3,0.3199162483215332
1000,1,4,0.5218651294708252
1000,1,5,0.5055215358734131
1000,1,6,0.08023452758789062
1000,1,7,0.07705259323120117
1000,1,8,0.07309818267822266
1000,1,9,0.07401156425476074
1000,1,10,0.0726935863494873
1000,1,11,0.07610678672790527
1000,1,12,0.07261943817138672
1000,1,13,0.07248187065124512
1000,1,14,0.07259464263916016
1000,1,15,0.08923721313476562
1000,1,16,0.07203006744384766
1000,1,17,0.0712282657623291
1000,1,18,0.409055233001709
1000,1,19,0.4173312187194824
1000,1,20,0.40981602668762207
1000,1,21,0.19342637062072754
1000,1,22,0.19400954246520996
1000,1,23,0.2061634063720703
1000,1,24,0.19527149200439453
1000,1,25,0.3113985061645508
1000,1,26,0.3103477954864502
1000,1,27,0.3104889392852783
1000,1,28,0.4104447364807129
1000,1,29,0.4095444679260254
1000,1,30,0.414043664932251
1000,1,31,0.46819353103637695
1000,1,32,0.43929219245910645
1000,1,33,3.643709897994995
1000,1,34,0.2897031307220459
1000,1,35,0.6378216743469238
1000,1,36,0.6543827056884766
1000,1,37,0.6001133918762207
1000,1,38,0.6100316047668457
1000,1,39,0.2468700408935547
1000,1,40,0.2623584270477295
1000,1,41,0.3204951286315918
1000,1,42,0.3296480178833008
1000,1,43,0.31665730476379395
1000,1,44,0.09961080551147461
1000,1,45,0.0986185073852539
1000,1,46,0.0986013412475586
1000,1,47,0.0982675552368164
1000,1,48,0.0983266830444336
1000,1,49,0.09879946708679199
1000,2,0,0.10178732872009277
1000,2,1,0.3159041404724121
1000,2,2,0.06028342247009277
1000,2,3,0.0606074333190918
1000,2,4,0.15335559844970703
1000,2,5,0.14366555213928223
1000,2,6,0.08585691452026367
1000,2,7,0.15041160583496094
1000,2,8,0.09246492385864258
1000,2,9,0.2726569175720215
1000,2,10,0.11075925827026367
1000,2,11,0.05173492431640625
1000,2,12,0.0747523307800293
1000,2,13,0.41454648971557617
1000,2,14,0.0688023567199707
1000,2,15,0.09355592727661133
1000,2,16,0.17952394485473633
1000,2,17,0.27132391929626465
1000,2,18,0.23224592208862305
1000,2,19,0.28820061683654785
1000,2,20,0.14600586891174316
1000,2,21,0.32657861709594727
1000,2,22,0.23151087760925293
1000,2,23,0.129974365234375
